型号,品牌,屏幕比例,屏幕尺寸,宽度,厚度,重量,电池,发布年份,SoC,类型,,,,,,
Razr 70 +,moto,22:9,6.9 ,74.0 ,15.3 ,189 ,4500 ,2026 ,骁龙8sIII,折叠,,,,,,
Razr 60 Ultra,moto,22:9,6.9 ,74.0 ,15.7 ,199 ,4700 ,2025 ,骁龙8Elite,折叠,,,,,,
Razr 70 Ultra,moto,22:9,7.0 ,74.0 ,15.7 ,199 ,5000 ,2026 ,骁龙8Elite,折叠,,,,,,
MIX Flip,xiaomi,2.38:1,6.9 ,74.0 ,16.0 ,192 ,4780 ,2024 ,骁龙8III,折叠,,,,,,
MIX Flip 2,xiaomi,2.38:1,6.9 ,73.8 ,15.9 ,199 ,5165 ,2025 ,骁龙8Elite,折叠,,,,,,
Find N2 Flip,OPPO,21:9,6.8 ,75.2 ,16.0 ,191 ,4300 ,2022 ,天玑9000+,折叠,,,,,,
Find N3 Flip,OPPO,21:9,6.8 ,75.8 ,16.5 ,198 ,4300 ,2023 ,天玑9200,折叠,,,,,,
X Flip,vivo,21:9,6.7 ,75.2 ,16.6 ,199 ,4400 ,2023 ,骁龙8+,折叠,,,,,,
P50 Pocket,HUAWEI,21:9,6.9 ,75.5 ,15.2 ,190 ,4000 ,2021 ,骁龙888,折叠,,,,,,
Pocket S,HUAWEI,21:9,6.9 ,75.5 ,15.2 ,190 ,4000 ,2022 ,骁龙778G,折叠,,,,,,
Pocket 2,HUAWEI,21:9,6.9 ,75.5 ,15.3 ,202 ,4000 ,2024 ,麒麟9000S,折叠,,,,,,
Pura X,HUAWEI,16:10,6.3 ,74.3 ,15.1 ,196 ,4720 ,2025 ,麒麟9020,折叠,,,,,,
Nova Flip,HUAWEI,21:9,6.9 ,75.4 ,15.1 ,199 ,4400 ,2024 ,麒麟8000,折叠,,,,,,
Magic V Flip,HONOR,21:9,6.8 ,75.6 ,14.9 ,193 ,4800 ,2024 ,骁龙8+,折叠,,,,,,
Magic V Flip2,HONOR,21:9,6.8 ,75.6 ,15.5 ,204 ,5500 ,2025 ,骁龙8III,折叠,,,,,,
Nubia Flip,ZTE,21:9,6.9 ,75.5 ,15.0 ,209 ,4310 ,2024 ,骁龙7,折叠,,,,,,
Nubia Flip2,ZTE,21:9,6.9 ,76.0 ,15.8 ,193 ,4325 ,2025 ,天玑7300X,折叠,,,,,,
Nubia Flip3,ZTE,21:9,6.9 ,76.0 ,15.9 ,187 ,4610 ,2025 ,天玑7400X,折叠,,,,,,
